                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.99574,                 0.1652,                0.28368,                0.63949,                 1.1144,                0.95425,                0.97778,                0.97043,                0.60895,                  0.976,                      1,                 0.9937,                 0.9937,                 1.1727,                0.10979,                0.07733,                 0.5672,                 1.3753,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0183,                 0.1686,                0.24222,                0.63199,                 1.1473,                0.95443,                0.97778,                0.97078,                 0.6034,                0.97618,                      1,                0.99413,                0.99413,                 1.1832,                0.10897,                0.07853,                0.57094,                 1.3794,               0.000515,               0.000515,               0.000515
                     78,                0.94377,                0.25421,                0.25455,                0.61763,                 1.0892,                0.95405,                0.97778,                0.97188,                0.63208,                0.97574,                      1,                0.99457,                0.99457,                 1.1683,                 0.1009,                0.07937,                0.59272,                 1.3811,              0.0004952,              0.0004952,              0.0004952
                     79,                0.96014,                0.15809,                0.27971,                0.60061,                 1.1248,                0.95376,                0.97778,                0.97236,                0.63692,                0.97543,                      1,                0.99413,                0.99413,                 1.1555,                0.09925,                0.07844,                0.58262,                 1.3757,              0.0004754,              0.0004754,              0.0004754
                     80,                0.93769,                0.16402,                0.26288,                0.63542,                 1.1093,                0.94089,                0.97778,                0.97066,                0.63246,                0.96274,                      1,                0.99413,                0.99358,                 1.1478,                0.10082,                0.07682,                0.55007,                 1.3659,              0.0004556,              0.0004556,              0.0004556
                     81,                0.94249,                0.19885,                0.28849,                0.63267,                 1.1295,                0.95875,                0.97778,                0.97135,                0.62945,                0.98168,                      1,                  0.995,                0.99465,                 1.1475,                0.09683,                0.07427,                0.53994,                 1.3595,              0.0004358,              0.0004358,              0.0004358
                     82,                0.93442,                0.14943,                0.27661,                 0.6427,                 1.1548,                0.96311,                0.97778,                0.97242,                0.64469,                0.98531,                      1,                  0.995,                0.99476,                 1.1518,                0.09656,                0.07063,                 0.5311,                 1.3502,               0.000416,               0.000416,               0.000416
                     83,                0.88969,                0.18099,                  0.243,                0.58026,                  1.053,                0.94193,                0.95556,                0.95279,                0.65579,                0.98603,                      1,                  0.995,                 0.9948,                  1.149,                 0.0929,                 0.0684,                0.52722,                  1.344,              0.0003962,              0.0003962,              0.0003962
                     84,                0.97001,                0.14695,                0.24557,                0.63101,                 1.1126,                0.95397,                0.95556,                0.95405,                0.66291,                0.99834,                      1,                  0.995,                  0.995,                 1.1319,                0.08803,                 0.0639,                0.53676,                 1.3529,              0.0003764,              0.0003764,              0.0003764
                     85,                0.88179,                0.16097,                0.22267,                0.57625,                 1.0936,                0.95396,                0.95556,                0.95535,                0.66817,                0.99833,                      1,                  0.995,                  0.995,                 1.1375,                0.08712,                0.06505,                0.52927,                 1.3517,              0.0003566,              0.0003566,              0.0003566
